Numeral, Number, Category, Has Agreement Marker, AgreementNounAndClass
6, isithupha, Cardinal, No, N/A
6, isithupha, Ordinal, No, N/A
6, kasithupha, Adverb, No, N/A
6, isithupha, Set-of-items, No, N/A
1000, inkulungwane, Cardinal, No, N/A
1000, inkulungwane, Ordinal, No, N/A
1000, kayinkulungwane, Adverb, No, N/A
1000, inkulungwane, Set-of-items, No, N/A
2, isibili, Cardinal, No, N/A
2, isibili, Ordinal, No, N/A
2, kabili, Adverb, No, N/A
2, isibili, Set-of-items, No, N/A
8, isishiyangalombini, Cardinal, No, N/A
8, isishiyangalombini, Ordinal, No, N/A
8, kasishiyangalombini, Adverb, No, N/A
8, isishiyangalombini, Set-of-items, No, N/A
7, isikhombisa, Cardinal, No, N/A
7, isikhombisa, Ordinal, No, N/A
7, kasikhombisa, Adverb, No, N/A
7, isikhombisa, Set-of-items, No, N/A
6718, izinkulungwane eziyisithupha namakhulu ayisikhombisa neshumi nesishiyangalombini, Cardinal, No, N/A
6718, izinkulungwane eziyisithupha namakhulu ayisikhombisa neshumi nesishiyangalombini, Ordinal, No, N/A
6718, kangangezinkulungwane eziyisithupha namakhulu ayisikhombisa neshumi nesishiyangalombini, Adverb, No, N/A
6718, izinkulungwane eziyisithupha namakhulu ayisikhombisa neshumi nesishiyangalombini, Set-of-items, No, N/A
2004, izinkulungwane ezimbili nane, Cardinal, No, N/A
2004, izinkulungwane ezimbili nane, Ordinal, No, N/A
2004, kangangezinkulungwane ezimbili nane, Adverb, No, N/A
2004, izinkulungwane ezimbili nane, Set-of-items, No, N/A
365, amakhulu amathathu namashumi ayisithupha nanhlanu, Cardinal, No, N/A
365, amakhulu amathathu namashumi ayisithupha nanhlanu, Ordinal, No, N/A
365, kangamakhulu amathathu namashumi ayisithupha nanhlanu, Adverb, No, N/A
365, amakhulu amathathu namashumi ayisithupha nanhlanu, Set-of-items, No, N/A
9372, izinkulungwane eziyisishiyangalolunye namakhulu amathathu namashumi ayisikhombisa nambili, Cardinal, No, N/A
9372, izinkulungwane eziyisishiyangalolunye namakhulu amathathu namashumi ayisikhombisa nambili, Ordinal, No, N/A
9372, kangangezinkulungwane eziyisishiyangalolunye namakhulu amathathu namashumi ayisikhombisa nambili, Adverb, No, N/A
9372, izinkulungwane eziyisishiyangalolunye namakhulu amathathu namashumi ayisikhombisa nambili, Set-of-items, No, N/A
5910, izinkulungwane ezinhlanu namakhulu ayisishiyangalolunye neshumi, Cardinal, No, N/A
5910, izinkulungwane ezinhlanu namakhulu ayisishiyangalolunye neshumi, Ordinal, No, N/A
5910, kangangezinkulungwane ezinhlanu namakhulu ayisishiyangalolunye nalishumi, Adverb, No, N/A
5910, izinkulungwane ezinhlanu namakhulu ayisishiyangalolunye neshumi, Set-of-items, No, N/A
6, abayisithupha, Cardinal, Yes, ababhali-2
6, besithupha, Ordinal, Yes, ababhali-2
6, bobasithupha, Set-of-items, Yes, ababhali-2
1000, abayinkulungwane, Cardinal, Yes, ababhali-2
1000, besinkulungwane, Ordinal, Yes, ababhali-2
1000, abayinkulungwane, Set-of-items, Yes, ababhali-2
2, ababili, Cardinal, Yes, ababhali-2
2, besibili, Ordinal, Yes, ababhali-2
2, bobabili, Set-of-items, Yes, ababhali-2
8, abayisishiyangalombini, Cardinal, Yes, ababhali-2
8, besishiyangalombini, Ordinal, Yes, ababhali-2
8, bobasishiyangalombini, Set-of-items, Yes, ababhali-2
7, abayisikhombisa, Cardinal, Yes, ababhali-2
7, besikhombisa, Ordinal, Yes, ababhali-2
7, bobasikhombisa, Set-of-items, Yes, ababhali-2
6718, abazinkulungwane eziyisithupha nangamakhulu ayisikhombisa nayishumi nesishiyangalombini, Cardinal, Yes, ababhali-2
6718, bezinkulungwane eziyisithupha namakhulu ayisikhombisa neshumi nesishiyangalombini, Ordinal, Yes, ababhali-2
6718, abazinkulungwane eziyisithupha nangamakhulu ayisikhombisa nalishumi nesishiyangalombini, Set-of-items, Yes, ababhali-2
2004, abazinkulungwane ezimbili nane, Cardinal, Yes, ababhali-2
2004, bezinkulungwane ezimbili nane, Ordinal, Yes, ababhali-2
2004, abazinkulungwane ezimbili nane, Set-of-items, Yes, ababhali-2
365, abangamakhulu amathathu nangamashumi ayisithupha nanhlanu, Cardinal, Yes, ababhali-2
365, bamakhulu amathathu namashumi ayisithupha nanhlanu, Ordinal, Yes, ababhali-2
365, abangamakhulu amathathu nangamashumi ayisithupha nanhlanu, Set-of-items, Yes, ababhali-2
9372, abazinkulungwane eziyisishiyangalolunye nangamakhulu amathathu nangamashumi ayisikhombisa nambili, Cardinal, Yes, ababhali-2
9372, bezinkulungwane eziyisishiyangalolunye namakhulu amathathu namashumi ayisikhombisa nambili, Ordinal, Yes, ababhali-2
9372, abazinkulungwane eziyisishiyangalolunye nangamakhulu amathathu nangamashumi ayisikhombisa nambili, Set-of-items, Yes, ababhali-2
5910, abazinkulungwane ezinhlanu nangamakhulu ayisishiyangalolunye nayishumi, Cardinal, Yes, ababhali-2
5910, bezinkulungwane ezinhlanu namakhulu ayisishiyangalolunye nambeshumi, Ordinal, Yes, ababhali-2
5910, abazinkulungwane ezinhlanu nangamakhulu ayisishiyangalolunye nalishumi, Set-of-items, Yes, ababhali-2
